id,name,path
222,スニーカー,1/6/4
223,ミュール,1/6/5
224,モカシン,1/6/6
225,ローファー/革靴,1/6/7
226,フラットシューズ/バレエシューズ,1/6/8
227,長靴/レインシューズ,1/6/9
228,その他,1/6/10
229,パジャマ,1/7/1
230,ルームウェア,1/7/2
231,ソックス,1/8/1
232,スパッツ/レギンス,1/8/2
233,ストッキング/タイツ,1/8/3
234,レッグウォーマー,1/8/4
235,その他,1/8/5
236,ニットキャップ/ビーニー,1/9/1
237,ハット,1/9/2
238,ハンチング/ベレー帽,1/9/3
239,キャップ,1/9/4
240,キャスケット,1/9/5
241,麦わら帽子,1/9/6
242,その他,1/9/7
243,ハンドバッグ,1/10/1
244,トートバッグ,1/10/2
245,エコバッグ,1/10/3
246,リュック/バックパック,1/10/4
247,ボストンバッグ,1/10/5
248,スポーツバッグ,1/10/6
249,ショルダーバッグ,1/10/7
250,クラッチバッグ,1/10/8
251,ポーチ/バニティ,1/10/9
252,ボディバッグ/ウェストバッグ,1/10/10
253,マザーズバッグ,1/10/11
254,メッセンジャーバッグ,1/10/12
255,ビジネスバッグ,1/10/13
256,旅行用バッグ/キャリーバッグ,1/10/14
257,ショップ袋,1/10/15
258,和装用バッグ,1/10/16
259,かごバッグ,1/10/17
260,その他,1/10/18
261,ネックレス,1/11/1
262,ブレスレット,1/11/2
263,バングル/リストバンド,1/11/3
264,リング,1/11/4
265,ピアス(片耳用),1/11/5
266,ピアス(両耳用),1/11/6
267,イヤリング,1/11/7
268,アンクレット,1/11/8
269,ブローチ/コサージュ,1/11/9
270,チャーム,1/11/10
271,その他,1/11/11
272,ヘアゴム/シュシュ,1/12/1
273,ヘアバンド/カチューシャ,1/12/2
274,ヘアピン,1/12/3
275,その他,1/12/4
276,長財布,1/13/1
277,折り財布,1/13/2
278,コインケース/小銭入れ,1/13/3
279,名刺入れ/定期入れ,1/13/4
280,キーケース,1/13/5
281,キーホルダー,1/13/6
282,手袋/アームカバー,1/13/7
283,ハンカチ,1/13/8
284,ベルト,1/13/9
285,マフラー/ショール,1/13/10
286,ストール/スヌード,1/13/11
287,バンダナ/スカーフ,1/13/12
288,ネックウォーマー,1/13/13
289,サスペンダー,1/13/14
290,サングラス/メガネ,1/13/15
291,モバイルケース/カバー,1/13/16
292,手帳,1/13/17
293,イヤマフラー,1/13/18
294,傘,1/13/19
295,レインコート/ポンチョ,1/13/20
296,ミラー,1/13/21
297,タバコグッズ,1/13/22
298,その他,1/13/23
